,Date,Active_Market_Wallets_cumsum
0,2020-01-01,136735.0
1,2020-01-02,136845.0
2,2020-01-03,136962.0
3,2020-01-04,137071.0
4,2020-01-05,137196.0
5,2020-01-06,137416.0
6,2020-01-07,137590.0
7,2020-01-08,137651.0
8,2020-01-09,137749.0
9,2020-01-09,137749.0
10,2020-01-10,137846.0
11,2020-01-11,137961.0
12,2020-01-12,138042.0
13,2020-01-13,138123.0
14,2020-01-14,138242.0
15,2020-01-15,138353.0
16,2020-01-16,138431.0
17,2020-01-17,138521.0
18,2020-01-18,138628.0
19,2020-01-19,138707.0
20,2020-01-20,138831.0
21,2020-01-21,138943.0
22,2020-01-22,139030.0
23,2020-01-23,139268.0
24,2020-01-24,139386.0
25,2020-01-25,139478.0
26,2020-01-26,139559.0
27,2020-01-27,139635.0
28,2020-01-28,139735.0
29,2020-01-29,139909.0
30,2020-01-30,139970.0
31,2020-01-31,140040.0
32,2020-02-01,140123.0
33,2020-02-02,140166.0
34,2020-02-03,140241.0
35,2020-02-04,140337.0
36,2020-02-05,140405.0
37,2020-02-06,140544.0
38,2020-02-07,140646.0
39,2020-02-08,140746.0
40,2020-02-09,140793.0
41,2020-02-10,140944.0
42,2020-02-11,141674.0
43,2020-02-12,142155.0
44,2020-02-13,142654.0
45,2020-02-14,142922.0
46,2020-02-15,143163.0
47,2020-02-16,143473.0
48,2020-02-17,143816.0
49,2020-02-18,144496.0
50,2020-02-19,145064.0
51,2020-02-20,145714.0
52,2020-02-21,146035.0
53,2020-02-22,146472.0
54,2020-02-23,146713.0
55,2020-02-24,146927.0
56,2020-02-25,147104.0
57,2020-02-26,147327.0
58,2020-02-27,147621.0
59,2020-02-28,148480.0
60,2020-02-29,148704.0
61,2020-03-01,148898.0
62,2020-03-02,149122.0
63,2020-03-03,149363.0
64,2020-03-04,149695.0
65,2020-03-05,149948.0
66,2020-03-06,150053.0
67,2020-03-07,150190.0
68,2020-03-08,150234.0
69,2020-03-09,150357.0
70,2020-03-10,150552.0
71,2020-03-11,150613.0
72,2020-03-12,150689.0
73,2020-03-13,150776.0
74,2020-03-14,150917.0
75,2020-03-15,151031.0
76,2020-03-16,151073.0
77,2020-03-17,151141.0
78,2020-03-18,151232.0
79,2020-03-19,151319.0
80,2020-03-20,151444.0
81,2020-03-21,151543.0
82,2020-03-22,151711.0
83,2020-03-23,151868.0
84,2020-03-24,152060.0
85,2020-03-25,152242.0
86,2020-03-26,152369.0
87,2020-03-27,152581.0
88,2020-03-28,152671.0
89,2020-03-29,152720.0
90,2020-03-30,152984.0
91,2020-03-31,153299.0
92,2020-04-01,153514.0
93,2020-04-02,153659.0
94,2020-04-03,153857.0
95,2020-04-04,154003.0
96,2020-04-05,154234.0
97,2020-04-06,154331.0
98,2020-04-07,154384.0
99,2020-04-08,154539.0
100,2020-04-09,154606.0
101,2020-04-10,154781.0
102,2020-04-11,154934.0
103,2020-04-12,155096.0
104,2020-04-13,155229.0
105,2020-04-14,155387.0
106,2020-04-15,155527.0
107,2020-04-16,155685.0
108,2020-04-17,155919.0
109,2020-04-18,156058.0
110,2020-04-19,156187.0
111,2020-04-20,156217.0
112,2020-04-21,156461.0
113,2020-04-22,156547.0
114,2020-04-23,156673.0
115,2020-04-24,156873.0
116,2020-04-25,156975.0
117,2020-04-26,157022.0
118,2020-04-27,157196.0
119,2020-04-28,157250.0
120,2020-04-29,157333.0
121,2020-04-30,157412.0
122,2020-05-01,157526.0
123,2020-05-02,157703.0
124,2020-05-03,157811.0
125,2020-05-04,157911.0
126,2020-05-05,158341.0
127,2020-05-06,158583.0
128,2020-05-07,158726.0
129,2020-05-08,158819.0
130,2020-05-09,158941.0
131,2020-05-10,159056.0
132,2020-05-11,159221.0
133,2020-05-12,159416.0
134,2020-05-13,159504.0
135,2020-05-14,159619.0
136,2020-05-15,159804.0
137,2020-05-16,160007.0
138,2020-05-17,160236.0
139,2020-05-18,160538.0
140,2020-05-19,160713.0
141,2020-05-20,160844.0
142,2020-05-21,161006.0
143,2020-05-22,161221.0
144,2020-05-23,161406.0
145,2020-05-24,161668.0
146,2020-05-25,161749.0
147,2020-05-26,161824.0
148,2020-05-27,161980.0
149,2020-05-28,162044.0
150,2020-05-29,162201.0
151,2020-05-30,162352.0
152,2020-05-31,162554.0
153,2020-06-01,162634.0
154,2020-06-02,162718.0
155,2020-06-03,162786.0
156,2020-06-04,162879.0
157,2020-06-05,163046.0
158,2020-06-06,163154.0
159,2020-06-07,163304.0
160,2020-06-08,163393.0
161,2020-06-09,163459.0
