,count,Sales,Buyers,Txns,Owners
sorare,329507.0,129615752.0,42675,713122,60277
parallelalpha,383.0,163724921.0,11103,67736,
cyberkongz,5000.0,119204627.0,2279,3962,2048
cryptovoxels,6693.0,25769658.0,2191,9481,1713
autoglyphs,512.0,41866276.0,183,349,157
cryptokitties,2010631.0,45790208.0,111129,786656,109858
galacticapes,9998.0,54804326.0,6025,15564,3466
mekaverse,8888.0,157475681.0,4668,9335,5089
mutantcats,9999.0,55460314.0,8614,19482,4369
888innercircle,1.0,49408610.0,5040,9423,1
hashmasks,16370.0,81416217.0,5419,17768,5089
supducks,10001.0,54344484.0,5891,14987,3256
anonymice,10000.0,45737499.0,2097,5466,1454
boredapeyachtclub,10000.0,783882186.0,8284,22584,5862
veefriends,10255.0,96224091.0,1401,2940,5099
treeverse,10420.0,36541570.0,4575,9943,3828
cryptopunks,9999.0,1664246968.0,4723,18961,3289
lostpoets,27651.0,85240932.0,7429,19165,6349
meebits,20000.0,237519388.0,5112,13580,5361
deadfellaz,9998.0,29222282.0,8051,17166,5208
guttercatgang,3000.0,35876258.0,1729,3343,
thehumanoids,10000.0,37221336.0,8158,17566,5289
pudgypenguins,8888.0,136335178.0,9948,26720,4719
