Collections,Sales,Buyers,Txns,Owners
Axie Infinity,3328148500.0,1079811,9755511,2656431
CryptoPunks,1664246968.0,4723,18961,3289
Art Blocks,1075223906.0,20934,117602,25094
Bored Ape Yacht Club,783882186.0,8284,22584,5862
NBA Top Shot,781965423.0,374818,11790699,603928
Mutant Ape Yacht Club,422429206.0,10350,17343,10254
Loot,264652035.0,3571,9997,2555
Meebits,237519388.0,5112,13580,5361
Cool Cats,186937798.0,7960,23007,5029
CrypToadz,170407439.0,6277,15005,3525
Parallel Alpha,163724921.0,11103,67736,
MekaVerse,157475681.0,4668,9335,5089
0N1 Force,147262453.0,6917,15982,4217
Farmers World,142416548.0,19459,456350,28679
Pudgy Penguins,136335178.0,9948,26720,4719
Sorare,129615752.0,42675,713122,60277
PUNKS Comic,129584623.0,3357,8757,3097
Zed Run,120191155.0,40469,160217,40190
CyberKongz,119204627.0,2279,3962,2048
Solana Monkey Business,111321313.0,3033,6727,2566
