Collections,Sales,Buyers,Txns,Owners
Cyber Pharmacist,2498805.0,3206,8452,3689
Train of the Century,2504080.0,3139,39460,3160
BabyApes,2521714.0,1671,3405,2785
LegionPunks,2535490.0,1702,3794,2410
Evolution,2536468.0,746,4961,2061
Solana Valley,2571696.0,2696,6446,3902
Goatz,2700380.0,2370,6249,2892
Crypto Raiders Characters,2709540.0,1360,4523,2122
Street Fighter,2722884.0,15016,466520,43495
Divine Order,2725493.0,3730,8942,3630
KAM1,2759049.0,4048,8981,4780
Wrapped Cryptocats,2774010.0,111,201,145
Sol Souls,2854097.0,2724,7098,4131
CryptoCubs,2950567.0,2162,7821,1472
Al Cabones,2956652.0,1520,4243,3635
Green Rabbit,2960392.0,5235,84184,5703
Bitcoin Origins,2966704.0,4109,34483,8985
Lonely Frog Lambo Club,2968806.0,3214,6537,3410
Long Neckie Ladies,2977288.0,1635,3804,1414
Crypto Zunks,2993628.0,3069,7207,2834
