,Date,Sales_USD_cumsum
0,2020-01-01,95168614.94
1,2020-01-02,95240561.87
2,2020-01-03,95327247.62
3,2020-01-04,95467863.32
4,2020-01-05,95539808.86
5,2020-01-06,95652713.25
6,2020-01-07,95756595.83
7,2020-01-08,95837090.32
8,2020-01-09,95890791.66
9,2020-01-09,95891369.36
10,2020-01-10,95954944.09
11,2020-01-11,96032642.78
12,2020-01-12,96091486.72
13,2020-01-13,96164306.15
14,2020-01-14,96245982.58
15,2020-01-15,96308209.28
16,2020-01-16,96369155.55
17,2020-01-17,96441879.29
18,2020-01-18,96523234.54
19,2020-01-19,96579473.99
20,2020-01-20,96647020.16
21,2020-01-21,96742945.04
22,2020-01-22,96834744.12
23,2020-01-23,97006970.83
24,2020-01-24,97085015.49
25,2020-01-25,97141476.66
26,2020-01-26,97214099.21
27,2020-01-27,97279734.79
28,2020-01-28,97366376.42
29,2020-01-29,97443663.72
30,2020-01-30,97495305.48
31,2020-01-31,97576741.19
32,2020-02-01,97647313.98
33,2020-02-02,97724719.62
34,2020-02-03,97815977.63
35,2020-02-04,97900890.4
36,2020-02-05,98034738.64
37,2020-02-06,98149284.78
38,2020-02-07,98374690.27
39,2020-02-08,98463231.84
40,2020-02-09,98655746.25
41,2020-02-10,98802721.29
42,2020-02-11,99280390.49
43,2020-02-12,99499714.49
44,2020-02-13,99659251.81
45,2020-02-14,99774127.58
46,2020-02-15,99886748.92
47,2020-02-16,100027441.38
48,2020-02-17,100204717.87
49,2020-02-18,100402936.66
50,2020-02-19,100523414.64
51,2020-02-20,100636840.48
52,2020-02-21,100823432.65
53,2020-02-22,100943455.58
54,2020-02-23,101054386.13
55,2020-02-24,101201499.82
56,2020-02-25,101321359.35
57,2020-02-26,101423125.77
58,2020-02-27,101522854.47
59,2020-02-28,101640226.06
60,2020-02-29,101711718.79
61,2020-03-01,101836469.54
62,2020-03-02,101983012.33
63,2020-03-03,102111382.86
64,2020-03-04,102201036.66
65,2020-03-05,102270418.01
66,2020-03-06,102347804.43
67,2020-03-07,102418021.94
68,2020-03-08,102502296.76
69,2020-03-09,102566314.58
70,2020-03-10,102633374.52
71,2020-03-11,102718412.14
72,2020-03-12,102762744.01
73,2020-03-13,102811545.34
74,2020-03-14,102847974.0
75,2020-03-15,102890367.33
76,2020-03-16,102928670.57
77,2020-03-17,102966786.54
78,2020-03-18,103031619.7
79,2020-03-19,103123147.97
80,2020-03-20,103174630.88
81,2020-03-21,103228067.59
82,2020-03-22,103298277.75
83,2020-03-23,103354537.15
84,2020-03-24,103399580.37
85,2020-03-25,103467893.28
86,2020-03-26,103538151.06
87,2020-03-27,103589441.62
88,2020-03-28,103662273.45
89,2020-03-29,103713954.87
90,2020-03-30,103781569.33
91,2020-03-31,104261673.44
92,2020-04-01,104346984.75
93,2020-04-02,104401895.42
94,2020-04-03,104461183.91
95,2020-04-04,104537932.0
96,2020-04-05,104593335.51
97,2020-04-06,104636001.99
98,2020-04-07,104684823.02
99,2020-04-08,104782458.41
100,2020-04-09,104837063.9
101,2020-04-10,104987803.48
102,2020-04-11,105039942.26
103,2020-04-12,105086808.12
104,2020-04-13,105132837.4
105,2020-04-14,105195376.72
106,2020-04-15,105249201.95
107,2020-04-16,105335745.17
108,2020-04-17,105396648.08
109,2020-04-18,105519459.27
110,2020-04-19,105583058.93
111,2020-04-20,105635520.45
112,2020-04-21,105756029.83
113,2020-04-22,105850399.45
114,2020-04-23,105985561.96
115,2020-04-24,106059948.54
116,2020-04-25,106169039.45
117,2020-04-26,106274618.64
118,2020-04-27,106354282.61
119,2020-04-28,106412778.02
120,2020-04-29,106479600.92
121,2020-04-30,106579278.38
122,2020-05-01,106685852.38
123,2020-05-02,106817680.26
124,2020-05-03,106907244.77
125,2020-05-04,106964996.38
126,2020-05-05,107048095.91
127,2020-05-06,107111644.46
128,2020-05-07,107174945.95
