,total_volume
cryptopunks,808659.1728493094
boredapeyachtclub,352664.6862965405
decentraland,263056.28704260325
art-blocks,222476.14086956944
mutant-ape-yacht-club,213882.42631124973
sandbox,149414.9030121811
rarible,99421.45880051005
decentraland-wearables,84542.21820739674
meebits,82773.68559966434
clonex,79276.80992700064
cool-cats-nft,77438.4421111761
lootproject,73094.17674192697
cryptokitties,70442.94228406616
doodles-official,67831.51265990734
azuki,63471.92403265982
superrare,63335.411190612336
parallelalpha,60265.45568062107
art-blocks-playground,60160.5994668268
cryptoadz-by-gremplin,56951.548398060244
bored-ape-kennel-club,54833.52432667956
