Date,Sales_USD_cumsum
2021-02-01,198630910.69
2021-02-02,205513430.13
2021-02-03,208929918.85
2021-02-04,212659317.54
2021-02-05,214850029.17
2021-02-06,217291742.99
2021-02-07,219792673.58
2021-02-08,223696249.62
2021-02-09,226437550.18
2021-02-10,228171702.98
2021-02-11,231788191.54
2021-02-12,233765993.3
2021-02-13,237897741.09
2021-02-14,245666344.47
2021-02-15,251908398.18
2021-02-16,260373014.22
2021-02-17,270349809.21
2021-02-18,280410340.74
2021-02-19,292134354.61
2021-02-20,300461468.52
2021-02-21,316953893.99
2021-02-22,332589970.32
2021-02-23,339038236.45
2021-02-24,346970156.93
2021-02-25,352672357.97
2021-02-26,359144731.63
2021-02-27,368032800.0
2021-02-28,375020237.77
2021-03-01,384836854.01
2021-03-02,395832285.12
2021-03-03,405311572.85
2021-03-04,412478336.56
2021-03-05,420293565.44
2021-03-06,425696068.86
2021-03-07,432470222.92
2021-03-08,442431723.57
2021-03-09,453394434.14
2021-03-10,462642979.28
2021-03-11,491713984.61
2021-03-12,507949005.24
2021-03-13,523662259.47
2021-03-14,538370944.8
2021-03-15,548936721.7
2021-03-16,559179661.91
2021-03-17,571089944.58
2021-03-18,581727465.38
2021-03-19,589608015.43
2021-03-20,599850691.46
2021-03-21,613182285.25
2021-03-22,621416194.69
2021-03-23,628142796.18
2021-03-24,635269105.74
2021-03-25,640006305.63
2021-03-26,645726251.39
2021-03-27,652077443.73
2021-03-28,658373245.68
2021-03-29,665436991.97
2021-03-30,673347430.07
2021-03-31,680020360.85
2021-04-01,686493215.18
2021-04-02,691883377.41
2021-04-03,697335832.98
2021-04-04,701952775.03
2021-04-05,708249538.35
2021-04-06,712967248.74
2021-04-07,717420817.09
2021-04-08,729847301.47
2021-04-09,741021252.85
2021-04-10,748311990.44
2021-04-11,773267888.41
2021-04-12,780778848.16
2021-04-13,789482376.47
2021-04-14,803726484.64
2021-04-15,814206813.7
2021-04-16,826317003.89
2021-04-17,832949812.8
2021-04-18,838886272.79
