,average_price,floor_price,total_volume
cryptopunks,42.80205223359495,,808659.1728493094
autoglyphs,38.41692603676233,195.0,18171.20601538858
fidenza-by-tyler-hobbs,37.59828924425325,72.0,42448.46855676192
ringers-by-dmitri-cherniak,30.581227518260903,42.0,24403.8195595722
decentraland,15.119046326950011,4.456956,263056.28704260325
boredapeyachtclub,14.530889423013617,95.0,352664.6862965405
neo-tokyo-identities,13.25195983471022,26.6,14033.825464958123
meridian-by-matt-deslauriers,12.465000634727394,6.7,16266.825828319248
bored-ape-chemistry-club,11.167281734956552,20.0,37935.256053647405
veefriends,10.959327564815593,12.4,39113.840078826855
fragments-of-an-infinite-field-by-monica-rizzolli,9.963848313353498,3.8,12674.01505458565
mutant-ape-yacht-club,8.695467996554447,19.9499,213882.42631124973
cyberkongz,8.664108028820188,11.29,46448.283142505024
thecurrency,8.137084572088806,5.8,16770.53130307503
neotokyo-outer-identities,8.036627914661368,7.5,15213.336642453969
clonex,8.02234465968434,9.05,79276.80992700064
hapeprime,7.06120181507299,7.45,23852.73973131656
lootproject,6.558472565448809,2.0,73094.17674192697
somnium-space,6.182746724054815,0.69,27006.23769067143
metahero-generative,5.6225053580082145,4.85,11582.361037496921
meebits,5.362379217392093,4.0,82773.68559966434
clonex-mintvial,4.9671953307804895,18.55,28576.274737980155
art-blocks,4.49655680153545,,222476.14086956944
azuki,4.360533390537223,7.3,63471.92403265982
mekaverse,4.072545182477071,1.03,46194.88000483741
tom-sachs-rockets,3.964857146762176,1.88,11442.57772555564
decentraland-wearables,3.678307440280053,0.00183008,84542.21820739674
doodles-official,3.6693450535490286,10.7,67831.51265990734
collectvoxmirandus,3.663083683286252,1.72,15831.84767916318
cryptoadz-by-gremplin,3.264634473950143,3.089,56951.548398060244
bored-ape-kennel-club,3.25982547569583,7.38,54833.52432667956
kaiju-kingz,3.238329000684017,1.999,19527.123874124623
superrare,3.1245886132517184,0.22,63335.411190612336
cool-cats-nft,3.0918486828705625,14.49,77438.4421111761
art-blocks-playground,2.650947363480515,,60160.5994668268
0n1-force,2.5854345696992205,0.8,46462.84465206469
genesis-creepz,2.5591439475024513,7.29,16442.49986270325
anonymice,2.4191284547574363,2.169,14226.894442428484
punks-comic,2.3825334596516057,0.229,50643.13121835453
world-of-women-nft,2.194109400415228,9.43,47541.96248819717
lil-heroes-by-edgar-plans,2.164794560872067,1.38,15140.573158739238
cryptovoxels,2.163766775513656,1.6969,23260.4928367718
primeapeplanetpap,2.1474102113512976,2.68,26226.320911233397
hashmasks,2.093213036671564,0.9,41313.745704786656
phantabear,2.0640191258683402,2.0,29525.79359554661
guttercatgang,1.9510342619290448,7.0,18246.072417560426
cryptobatz-by-ozzy-osbourne,1.9446947421942378,1.02,13484.513342374845
sandbox,1.9199324494324443,3.52,149414.9030121811
emblem-vault,1.7731372947814057,0.047,30139.787736694332
wolf-game-migrated,1.6392942236353214,1.18,18115.840465393936
fluf-world,1.5775150939599392,4.58,28527.78295917154
the-doge-pound,1.5262981238216313,1.81,26875.057364251283
wolf-game,1.5042560479440306,5.0,13633.072562516749
pudgypenguins,1.4634064210856623,1.24,47045.589625061875
cyberkongz-vx,1.444270326341882,3.3,26352.156374433976
sneaky-vampire-syndicate,1.4367097389604935,1.1,20340.936484202666
creatureworld,1.400665889311897,1.21,32828.807113692244
collectvox,1.3309160162212204,2.14,23145.960438103244
curiocardswrapper,1.312424063403209,0.58,35980.105698198975
rumble-kong-league,1.303527481295709,2.3,15750.522556496051
c-01-official-collection,1.30230541788028,0.459,12651.89713470692
supducks,1.2079018597716398,1.923,21134.65884042438
888innercircle,1.1970427472154546,2.42,17874.242301421167
acclimatedmooncats,1.1401804596078702,0.69,16420.878979272547
oxyaoriginproject,1.13383608188074,0.4,11828.17800617988
the-sevens-official,1.1249248988797285,0.175,11885.956481563211
treeverse,1.013819047699692,1.568,12205.367515256592
psychedelics-anonymous-genesis,0.9908062267331744,1.45,11710.338793759389
lazy-lions,0.9890985078486022,2.7,24117.188916872467
metroverse,0.9734824510252471,1.4998,11695.418166617319
mirandus,0.9206868306071405,0.1,14457.545301023927
nft-worlds,0.9106011227582835,3.7,14454.882222664994
jungle-freaks-by-trosley,0.9006113666824839,0.37,17968.99798804892
galacticapes,0.8896061284130686,0.229,17925.563487523334
cryptoskulls,0.8797463695367905,1.4999,17600.20586895303
makersplace,0.8630643610036615,0.024,15937.346490293612
lostpoets,0.8485864117212581,0.282,28307.14552219773
deadfellaz,0.8370993518776069,4.74,19002.992386973554
galaxyeggs9999,0.8234134736629989,0.175,14528.307329309951
capsulehouse,0.8053051504042702,3.39,15506.955976184627
art-blocks-factory,0.797586933158258,,48699.86055171007
adidasoriginals,0.7921861510044362,2.85,20041.517434261234
mutantcats,0.7261966398997077,0.2,15826.003373334332
koala-intelligence-agency,0.6888369388686167,0.109,12883.317267659739
bears-deluxe-old,0.6741036494236544,2.0,14739.950398297628
