,thirty_day_change,30_day_ratio
cryptoskulls,1699.7083539539492,0.9360858987006436
capsulehouse,22.0100152774273,0.012121647154029132
world-of-women-nft,9.756227271357652,0.005373078711998841
cyberkongz-vx,6.966295151087584,0.003836570339817506
autoglyphs,6.3125,0.0034765036141652735
robotos-official,6.2712326416171935,0.003453776307937174
fluf-world,5.994401302117393,0.003301316085792973
acclimatedmooncats,5.682724661288798,0.003129665397746794
koala-intelligence-agency,5.596816611322061,0.003082352978547546
alienfrensnft,3.2459214281599,0.0017876368437694098
